Nâng cấp bắt đầu: 12:01:16_26-10-2025
12:01:16_26-10-2025 | ::1 | Tải về bản backup các file thay đổi | SUCCESS
12:01:44_26-10-2025 | ::1 | Cập nhật module News lên 4.5.07 | SUCCESS
12:01:45_26-10-2025 | ::1 | Cập nhật hệ thống lên 4.5.07 | SUCCESS
12:01:46_26-10-2025 | ::1 | Cập nhật CSDL lên phiên bản 4.5.07 | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục assets/js/pdf.js/standard_fonts | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/guzzlehttp | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/guzzlehttp/psr7 | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/guzzlehttp/psr7/src | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/kriswallsmith/buzz/lib/Buzz/Converter | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/kriswallsmith/buzz/lib/Buzz/Middleware | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/psr | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/psr/http-message | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/psr/http-message/src | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/ralouphie | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/ralouphie/getallheaders | SUCCESS
12:03:00_26-10-2025 | ::1 | Tạo thư mục vendor/ralouphie/getallheaders/src | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/2step.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/add.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/api-roles.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/del.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/edit.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/main.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/authors/module.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/database/file.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/database/functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/database/sampledata.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/database/savefile.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/extensions/download.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/extensions/functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/extensions/install.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/extensions/upload.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/index.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/language/check.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/language/download.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/language/main.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/modules/change_site_title.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/modules/del.php | SUCCESS
